Fecha,Hora,WS
2021-02-13,4,0.114
2021-02-13,5,0.789
2021-02-13,6,0.641
2021-02-13,7,0.24
2021-02-13,8,0.716
2021-02-13,9,0.8
2021-02-13,10,1.784
2021-02-13,11,2.707
2021-02-13,12,2.502
2021-02-13,13,2.264
2021-02-13,14,2.337
2021-02-13,15,2.627
2021-02-13,16,2.063
2021-02-13,17,2.251
2021-02-13,18,3.119
2021-02-13,19,2.566
2021-02-13,20,1.673
2021-02-13,21,0.689
2021-02-13,22,0.454
2021-02-13,23,0.981
2021-02-14,0,1.14
2021-02-14,1,0.964
2021-02-14,2,0.89
2021-02-14,3,2.007
2021-02-14,4,1.537
2021-02-14,5,0.14
2021-02-14,6,0.476
2021-02-14,7,0.225
2021-02-14,8,0.09
2021-02-14,9,1.128
2021-02-14,10,1.698
2021-02-14,11,2.635
2021-02-14,12,2.487
2021-02-14,13,2.161
2021-02-14,14,2.474
2021-02-14,15,2.275
2021-02-14,16,2.362
2021-02-14,17,2.636
2021-02-14,18,2.087
2021-02-14,19,1.93
2021-02-14,20,1.674
2021-02-14,21,1.475
2021-02-14,22,1.649
2021-02-14,23,1.298
2021-02-15,0,1.756
2021-02-15,1,1.922
2021-02-15,2,1.492
2021-02-15,3,0.754
2021-02-15,4,0.05
2021-02-15,5,0.059
2021-02-15,6,0.202
2021-02-15,7,0.086
2021-02-15,8,0.325
2021-02-15,9,0.62
2021-02-15,10,1.458
2021-02-15,11,1.639
2021-02-15,12,1.841
2021-02-15,13,1.757
2021-02-15,14,1.829
2021-02-15,15,2.456
2021-02-15,16,3.027
2021-02-15,17,2.339
2021-02-15,18,2.588
2021-02-15,19,1.215
2021-02-15,20,0.721
2021-02-15,21,0.963
2021-02-15,22,0.704
2021-02-15,23,0.974
2021-02-16,0,1.326
2021-02-16,1,1.711
2021-02-16,2,1.56
2021-02-16,3,2.032
2021-02-16,4,1.747
2021-02-16,5,0.836
2021-02-16,6,0.248
2021-02-16,7,0.233
2021-02-16,8,0.88
2021-02-16,9,1.401
2021-02-16,10,1.306
2021-02-16,11,1.265
2021-02-16,12,1.491
2021-02-16,13,2.139
2021-02-16,14,2.408
2021-02-16,15,2.032
2021-02-16,16,2.353
2021-02-16,17,2.335
2021-02-16,18,1.959
2021-02-16,19,1.944
2021-02-16,20,1.305
2021-02-16,21,0.623
2021-02-16,22,0.682
2021-02-16,23,0.866
2021-02-17,0,1.038
2021-02-17,1,1.68
2021-02-17,2,1.76
2021-02-17,3,1.636
2021-02-17,4,1.008
2021-02-17,5,0.277
2021-02-17,6,0.61
2021-02-17,7,0.185
2021-02-17,8,0.662
2021-02-17,9,0.667
2021-02-17,10,0.9
2021-02-17,11,1.859
2021-02-17,12,2.136
2021-02-17,13,1.605
2021-02-17,14,1.728
2021-02-17,15,3.533
2021-02-17,16,2.837
2021-02-17,17,2.439
2021-02-17,18,1.841
